iter	RMSE
0	1.094807631
1	1.06036948
2	1.027606767
3	0.9969301636
4	0.9677157885
5	0.9407343632
6	0.9142003385
7	0.8899628282
8	0.8662061649
9	0.8423362546
10	0.8198179545
11	0.8005310491
12	0.7803021478
13	0.7611693101
14	0.7430790126
15	0.7261683803
16	0.7108020287
17	0.6956628438
18	0.6811952532
19	0.6682325006
20	0.6559817301
21	0.643505714
22	0.6327136127
23	0.6217326574
24	0.6118119988
25	0.6019746567
26	0.5930652512
27	0.5843667566
28	0.5757270134
29	0.5682805261
30	0.5608496777
31	0.5539378599
32	0.5474073581
33	0.5414946597
34	0.535882841
35	0.5302391716
36	0.5247401207
37	0.5201308322
38	0.5154238458
39	0.5109382786
40	0.5067747882
41	0.5028555343
42	0.4984887741
43	0.4946162458
44	0.4913608259
45	0.4880419768
46	0.4852265967
47	0.4818149299
48	0.4792101037
49	0.4761608842
50	0.473788103
51	0.4713176586
52	0.468529074
53	0.4665479795
54	0.4644105705
55	0.4625984978
56	0.4606985568
57	0.458641731
58	0.4564299391
59	0.4549809148
60	0.4535927019
61	0.4518739509
62	0.4501775533
63	0.4482983888
64	0.4470352025
65	0.4456594005
66	0.444440162
67	0.4434054109
68	0.4417908385
69	0.4406655311
70	0.4393553744
71	0.4384283459
72	0.4369957093
73	0.4361545564
74	0.4352335843
75	0.4343824412
76	0.4335620111
77	0.4327032408
78	0.4317983368
79	0.4310289699
80	0.4302498976
81	0.4294208463
82	0.4285772807
83	0.4274427697
84	0.4264783041
85	0.4258329194
86	0.4251931581
87	0.4245353886
88	0.4236615379
89	0.4227654251
90	0.4221185452
91	0.4214697447
92	0.4205975753
93	0.4197954769
94	0.4190417811
95	0.4186640483
96	0.4180853153
97	0.4170586934
98	0.4161847457
99	0.4154667736
100	0.4148149584
101	0.414390704
102	0.4138976995
103	0.4132098283
104	0.4121480924
105	0.4115498255
106	0.4106716612
107	0.4101047872
108	0.4096374939
109	0.408839889
110	0.4082301812
111	0.4076854132
112	0.4070757553
113	0.4066380688
114	0.4062834773
115	0.4056644295
116	0.4053223475
117	0.4049385551
118	0.4039556519
119	0.4034345731
120	0.4027291709
121	0.4020478595
122	0.401224209
123	0.4007670304
124	0.4001122747
125	0.3996101909
126	0.3991643083
127	0.3985981125
128	0.398132456
129	0.3975439136
130	0.3970670229
131	0.396642407
132	0.3962788008
133	0.3953756368
134	0.3946024534
135	0.3943376296
136	0.3939135338
137	0.3934311067
138	0.3928515229
139	0.3923617435
140	0.3919785277
141	0.3915476371
142	0.391053848
143	0.3906197302
144	0.3902229706
145	0.3893998412
146	0.3888442371
147	0.3879701072
148	0.3877100268
149	0.3871440938
150	0.3866230042
151	0.3860884384
152	0.3854946929
153	0.3849279842
154	0.3841875235
155	0.3836867549
156	0.383235531
157	0.3828063935
158	0.3822744521
159	0.3814728891
160	0.3810094882
161	0.3805105582
162	0.3798503191
163	0.3792405273
164	0.378472085
165	0.3773006248
166	0.3764905716
167	0.3757441712
168	0.3752107711
169	0.3747864715
170	0.3742770932
171	0.3738854951
172	0.373585722
173	0.3729787355
174	0.3723484064
175	0.371861865
176	0.3712781648
177	0.3708197088
178	0.3702743593
179	0.3697790052
180	0.3694767429
181	0.3691205308
182	0.3684865197
183	0.3681754355
184	0.3676970544
185	0.3673036989
186	0.3669846487
187	0.3665133734
188	0.3659709279
189	0.3655005536
190	0.364876211
191	0.3645143226
192	0.3641268971
193	0.3632531141
194	0.3630474373
195	0.3627779217
196	0.3622734849
197	0.3616989484
198	0.3611749802
199	0.3606667791
200	0.3603701181
201	0.3601217645
202	0.3596142126
203	0.3590342893
204	0.3585509146
205	0.358240814
206	0.357350773
207	0.3570468816
208	0.3565946606
209	0.3560025077
210	0.3558214275
211	0.3553286302
212	0.355079788
213	0.35455438
214	0.35424835
215	0.3536682464
216	0.3532092189
217	0.3528936869
218	0.3522863759
219	0.3520588076
220	0.3513766455
221	0.3512130526
222	0.3505781754
223	0.3498548164
224	0.348821144
225	0.3479679949
226	0.347590404
227	0.3474022832
228	0.3466044149
229	0.3460774741
230	0.3456798987
231	0.3454910021
232	0.3449817547
233	0.3446295145
234	0.3441028859
235	0.3434127811
236	0.34299368
237	0.3425369771
