iter	Passed	Remaining
0	5	906
1	10	929
2	16	991
3	23	1035
4	29	1019
5	34	997
6	40	1007
7	46	996
8	51	973
9	56	955
10	61	950
11	65	918
12	70	904
13	74	888
14	78	864
15	82	842
16	85	823
17	89	807
18	95	805
19	99	794
20	103	780
21	107	769
22	111	759
23	115	753
24	121	751
25	125	745
26	130	738
27	134	729
28	139	727
29	144	723
30	148	712
31	152	704
32	156	695
33	159	686
34	163	679
35	167	669
36	171	661
37	175	655
38	180	652
39	183	643
40	187	636
41	191	629
42	195	622
43	199	618
44	205	615
45	210	612
46	215	608
47	220	605
48	224	599
49	228	592
50	232	588
51	237	584
52	242	580
53	245	572
54	249	566
55	253	561
56	257	555
57	261	549
58	264	543
59	269	538
60	272	532
61	276	525
62	279	519
63	283	514
64	287	508
65	291	502
66	294	496
67	297	490
68	301	485
69	305	480
70	309	474
71	312	468
72	316	464
73	320	458
74	323	453
75	327	448
76	331	443
77	334	437
78	338	432
79	341	427
80	345	422
81	349	417
82	353	412
83	357	408
84	360	403
85	364	398
86	369	394
87	374	391
88	378	387
89	382	382
90	386	377
91	390	373
92	394	369
93	398	364
94	402	360
95	408	357
96	412	352
97	416	348
98	419	343
99	424	339
100	428	334
101	432	330
102	435	325
103	439	320
104	445	318
105	449	313
106	452	308
107	455	303
108	459	299
109	462	294
110	465	289
111	470	285
112	473	280
113	477	276
114	481	272
115	484	267
116	488	262
117	491	258
118	495	254
119	499	249
120	502	245
121	506	240
122	510	236
123	513	232
124	517	227
125	520	223
126	524	218
127	527	214
128	531	210
129	534	205
130	538	201
131	541	197
132	545	192
133	548	188
134	552	184
135	556	180
136	559	175
137	563	171
138	566	167
139	570	162
140	573	158
141	577	154
142	580	150
143	584	146
144	588	141
145	591	137
146	594	133
147	598	129
148	602	125
149	607	121
150	611	117
151	615	113
152	619	109
153	623	105
154	627	101
155	631	97
156	634	93
157	638	88
158	642	84
159	646	80
160	649	76
161	653	72
162	657	68
163	660	64
164	663	60
165	667	56
166	671	52
167	676	48
168	680	44
169	683	40
170	687	36
171	691	32
172	695	28
173	698	24
174	702	20
175	706	16
176	710	12
177	714	8
178	717	4
179	721	0
